Layer name;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004
Property;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele
730;5;4;0.054;34;32;0.432;5;4;0.054;8;6;0.081;16;13;0.176;10;9;0.122;4;3;0.041
563;4;2;0.038;5;2;0.038;15;11;0.208;1;0;0;11;8;0.151;3;1;0.019;27;22;0.415
674;3;2;0.013;134;130;0.855;5;3;0.02;3;1;0.007;2;1;0.007;3;2;0.013;10;8;0.053
571;2;2;0.018;7;4;0.035;17;13;0.115;85;80;0.708;7;5;0.044;1;0;0;4;3;0.027
667;3;2;0.017;47;43;0.361;58;53;0.445;1;1;0.008;5;4;0.034;6;4;0.034;8;6;0.05
822;2;1;0.017;40;37;0.627;5;4;0.068;1;0;0;14;11;0.186;4;2;0.034;1;0;0
552;1;1;0.024;18;16;0.381;13;11;0.262;3;2;0.048;2;2;0.048;5;4;0.095;5;4;0.095
1889;1;1;0.028;1;0;0;23;21;0.583;1;0;0;12;11;0.306;2;1;0.028;1;0;0
1859;23;21;0.196;60;59;0.551;8;6;0.056;6;5;0.047;9;8;0.075;2;1;0.009;4;3;0.028
1487;30;26;0.289;4;3;0.033;45;41;0.456;1;0;0;8;6;0.067;1;0;0;10;7;0.078
1489;7;6;0.063;64;61;0.642;19;17;0.179;1;1;0.011;6;6;0.063;1;1;0.011;1;0;0
1356;2;2;0.016;40;36;0.279;83;78;0.605;3;2;0.016;3;2;0.016;2;2;0.016;3;2;0.016
751;7;6;0.079;55;52;0.684;6;4;0.053;1;0;0;1;0;0;12;9;0.118;1;0;0
1792;3;3;0.065;9;8;0.174;20;18;0.391;1;1;0.022;3;2;0.043;7;5;0.109;8;6;0.13
1351;1;1;0.021;18;16;0.333;8;7;0.146;1;1;0.021;14;13;0.271;5;4;0.083;4;4;0.083
1155;3;3;0.018;134;127;0.751;12;9;0.053;5;2;0.012;5;2;0.012;21;16;0.095;1;0;0
1074;2;1;0.014;2;1;0.014;6;5;0.071;2;1;0.014;10;9;0.129;50;47;0.671;3;2;0.029
675;4;2;0.077;3;2;0.077;5;5;0.192;1;0;0;7;6;0.231;4;3;0.115;6;4;0.154
677;2;1;0.012;52;49;0.57;19;16;0.186;6;5;0.058;2;1;0.012;10;8;0.093;1;0;0
1659;2;1;0.031;10;7;0.219;7;6;0.188;2;0;0;4;4;0.125;1;1;0.031;10;9;0.281
679;3;2;0.047;4;3;0.07;10;9;0.209;20;19;0.442;4;4;0.093;3;2;0.047;3;2;0.047
149;1;1;0.029;6;5;0.147;18;18;0.529;1;0;0;2;2;0.059;3;2;0.059;5;4;0.118
1319;1;1;0.01;11;9;0.086;60;54;0.514;3;1;0.01;3;2;0.019;23;20;0.19;13;10;0.095
311;1;1;0.006;119;110;0.647;48;40;0.235;1;0;0;4;2;0.012;9;7;0.041;1;0;0
889;1;1;0.019;10;8;0.154;17;17;0.327;7;6;0.115;3;2;0.038;13;10;0.192;6;5;0.096
126;1;1;0.016;9;7;0.115;30;30;0.492;1;0;0;3;2;0.033;18;16;0.262;3;2;0.033
296;1;0;0;140;132;0.698;50;44;0.233;3;2;0.011;1;0;0;3;2;0.011;1;0;0
1270;30;25;0.287;5;4;0.046;43;40;0.46;3;1;0.011;3;1;0.011;7;5;0.057;6;3;0.034
1483;16;14;0.326;8;8;0.186;4;3;0.07;10;9;0.209;3;2;0.047;4;3;0.07;2;1;0.023
