Id;Degree deviation;Degree;Neighbors;Connective redudancy
730;9.866;82;74;0.098
563;8.483;66;53;0.197
674;45.442;160;152;0.05
571;27.958;123;113;0.081
667;21.933;128;119;0.07
822;13.102;67;59;0.119
552;5.873;47;42;0.106
1889;7.936;41;36;0.122
1859;19.041;112;107;0.045
1487;15.615;99;90;0.091
1489;21.196;99;95;0.04
1356;28.987;136;129;0.051
751;18.019;83;76;0.084
1792;5.873;51;46;0.098
1351;6.041;51;48;0.059
1155;44.595;181;169;0.066
1074;16.272;75;70;0.067
675;1.829;30;26;0.133
677;16.907;92;86;0.065
1659;3.563;36;32;0.111
679;5.897;47;43;0.085
149;5.54;36;34;0.056
1319;19.204;114;105;0.079
311;41.024;183;170;0.071
889;5.194;57;52;0.088
126;10.152;65;61;0.062
296;48.497;199;189;0.05
1270;14.798;97;87;0.103
1483;4.62;47;43;0.085
1512;27.61;154;141;0.084
1077;2.231;29;26;0.103
671;1.666;23;20;0.13
1771;4.189;34;32;0.059
615;2.997;20;18;0.1
941;14.28;61;58;0.049
566;2.799;29;25;0.138
1864;6.884;81;69;0.148
1031;11.83;53;48;0.094
438;9.225;52;51;0.019
1073;1.069;14;11;0.214
1083;5.083;36;32;0.111
672;8.244;59;51;0.136
317;73.727;262;251;0.042
748;5.866;36;35;0.028
993;21.467;116;100;0.138
673;3.251;42;39;0.071
203;37.972;190;174;0.084
678;8.278;87;78;0.103
56;34.993;165;153;0.073
670;5.151;32;27;0.156
1078;9.249;50;46;0.08
192;19.261;85;81;0.047
1480;11.373;65;61;0.062
918;5.345;42;38;0.095
361;4.309;28;25;0.107
152;4.17;38;35;0.079
26;11.837;57;57;0
676;2.507;35;34;0.029
1075;9.376;65;63;0.031
1563;10.648;66;61;0.076
568;13.632;62;58;0.065
1545;23.76;108;103;0.046
1076;7.18;48;45;0.062
1631;5.827;38;32;0.158
1072;10.473;81;74;0.086
1529;8.778;58;55;0.052
1650;3.201;32;27;0.156
369;18.607;82;76;0.073
1557;11.957;55;52;0.055
818;8.271;62;57;0.081
1071;15.142;62;60;0.032
1066;33.401;142;133;0.063
1158;3.01;33;28;0.152
1537;4.17;31;27;0.129
523;4.891;30;27;0.1
573;7.267;46;44;0.043
1855;5.182;49;48;0.02
278;19.558;73;72;0.014
55;33.78;124;119;0.04
362;8.91;45;42;0.067
1482;9.647;61;59;0.033
223;6.243;43;42;0.023
1484;2.777;28;24;0.143
1789;1.761;18;15;0.167
756;4.94;34;33;0.029
433;7.42;51;45;0.118
553;2.921;24;21;0.125
1079;10.749;55;53;0.036
1485;5.067;46;42;0.087
94;2.864;23;21;0.087
1790;16.383;69;64;0.072
1494;49.619;168;166;0.012
1112;3.891;35;29;0.171
1488;8.586;49;46;0.061
447;2.204;21;19;0.095
1080;5.897;37;37;0
333;19.418;86;84;0.023
1255;1.591;18;16;0.111
1411;27.804;149;139;0.067
561;11.21;73;70;0.041
978;8.839;50;47;0.06
1374;4.978;37;35;0.054
821;6.99;42;40;0.048
1540;8.219;55;53;0.036
198;7.497;40;39;0.025
572;2.06;24;22;0.083
214;5.175;33;30;0.091
322;9.92;57;54;0.053
1486;9.702;55;51;0.073
1559;6.522;45;41;0.089
1630;10.294;73;69;0.055
308;3.614;30;29;0.033
15;19.606;71;69;0.028
442;9.634;59;57;0.034
1755;9.134;49;48;0.02
403;24.645;95;92;0.032
1111;5.151;24;24;0
202;1.591;18;17;0.056
1479;4.165;33;31;0.061
1049;13.137;63;60;0.048
1618;3.886;32;28;0.125
1863;2.1;29;27;0.069
1857;1.591;25;24;0.04
1858;3.959;25;25;0
404;17.069;65;63;0.031
42;2.9;34;32;0.059
1856;6.318;37;35;0.054
