Layer name;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Wed_Mar_24_02_11_55_2004---Sat_Apr_24_00_30_38_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Sat_Apr_24_00_57_38_2004---Mon_May_24_21_44_12_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Mon_May_24_21_48_09_2004---Thu_Jun_24_18_43_14_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Thu_Jun_24_21_25_43_2004---Sun_Jul_25_15_52_25_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Sun_Jul_25_16_22_15_2004---Wed_Aug_25_13_23_15_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Wed_Aug_25_15_03_21_2004---Sat_Sep_25_10_18_52_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004;Sat_Sep_25_16_29_27_2004---Tue_Oct_26_07_52_22_2004
Property;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele
730;5.0;4.0;0.054;34.0;32.0;0.432;5.0;4.0;0.054;8.0;6.0;0.081;16.0;13.0;0.176;10.0;9.0;0.122;4.0;3.0;0.041
563;4.0;2.0;0.038;5.0;2.0;0.038;15.0;11.0;0.208;1.0;0.0;0.0;11.0;8.0;0.151;3.0;1.0;0.019;27.0;22.0;0.415
674;3.0;2.0;0.013;134.0;130.0;0.855;5.0;3.0;0.02;3.0;1.0;0.007;2.0;1.0;0.007;3.0;2.0;0.013;10.0;8.0;0.053
571;2.0;2.0;0.018;7.0;4.0;0.035;17.0;13.0;0.115;85.0;80.0;0.708;7.0;5.0;0.044;1.0;0.0;0.0;4.0;3.0;0.027
667;3.0;2.0;0.017;47.0;43.0;0.361;58.0;53.0;0.445;1.0;1.0;0.008;5.0;4.0;0.034;6.0;4.0;0.034;8.0;6.0;0.05
822;2.0;1.0;0.017;40.0;37.0;0.627;5.0;4.0;0.068;1.0;0.0;0.0;14.0;11.0;0.186;4.0;2.0;0.034;1.0;0.0;0.0
552;1.0;1.0;0.024;18.0;16.0;0.381;13.0;11.0;0.262;3.0;2.0;0.048;2.0;2.0;0.048;5.0;4.0;0.095;5.0;4.0;0.095
1889;1.0;1.0;0.028;1.0;0.0;0.0;23.0;21.0;0.583;1.0;0.0;0.0;12.0;11.0;0.306;2.0;1.0;0.028;1.0;0.0;0.0
1859;23.0;21.0;0.196;60.0;59.0;0.551;8.0;6.0;0.056;6.0;5.0;0.047;9.0;8.0;0.075;2.0;1.0;0.009;4.0;3.0;0.028
1487;30.0;26.0;0.289;4.0;3.0;0.033;45.0;41.0;0.456;1.0;0.0;0.0;8.0;6.0;0.067;1.0;0.0;0.0;10.0;7.0;0.078
1489;7.0;6.0;0.063;64.0;61.0;0.642;19.0;17.0;0.179;1.0;1.0;0.011;6.0;6.0;0.063;1.0;1.0;0.011;1.0;0.0;0.0
1356;2.0;2.0;0.016;40.0;36.0;0.279;83.0;78.0;0.605;3.0;2.0;0.016;3.0;2.0;0.016;2.0;2.0;0.016;3.0;2.0;0.016
751;7.0;6.0;0.079;55.0;52.0;0.684;6.0;4.0;0.053;1.0;0.0;0.0;1.0;0.0;0.0;12.0;9.0;0.118;1.0;0.0;0.0
1792;3.0;3.0;0.065;9.0;8.0;0.174;20.0;18.0;0.391;1.0;1.0;0.022;3.0;2.0;0.043;7.0;5.0;0.109;8.0;6.0;0.13
1351;1.0;1.0;0.021;18.0;16.0;0.333;8.0;7.0;0.146;1.0;1.0;0.021;14.0;13.0;0.271;5.0;4.0;0.083;4.0;4.0;0.083
1155;3.0;3.0;0.018;134.0;127.0;0.751;12.0;9.0;0.053;5.0;2.0;0.012;5.0;2.0;0.012;21.0;16.0;0.095;1.0;0.0;0.0
1074;2.0;1.0;0.014;2.0;1.0;0.014;6.0;5.0;0.071;2.0;1.0;0.014;10.0;9.0;0.129;50.0;47.0;0.671;3.0;2.0;0.029
675;4.0;2.0;0.077;3.0;2.0;0.077;5.0;5.0;0.192;1.0;0.0;0.0;7.0;6.0;0.231;4.0;3.0;0.115;6.0;4.0;0.154
677;2.0;1.0;0.012;52.0;49.0;0.57;19.0;16.0;0.186;6.0;5.0;0.058;2.0;1.0;0.012;10.0;8.0;0.093;1.0;0.0;0.0
1659;2.0;1.0;0.031;10.0;7.0;0.219;7.0;6.0;0.188;2.0;0.0;0.0;4.0;4.0;0.125;1.0;1.0;0.031;10.0;9.0;0.281
679;3.0;2.0;0.047;4.0;3.0;0.07;10.0;9.0;0.209;20.0;19.0;0.442;4.0;4.0;0.093;3.0;2.0;0.047;3.0;2.0;0.047
149;1.0;1.0;0.029;6.0;5.0;0.147;18.0;18.0;0.529;1.0;0.0;0.0;2.0;2.0;0.059;3.0;2.0;0.059;5.0;4.0;0.118
1319;1.0;1.0;0.01;11.0;9.0;0.086;60.0;54.0;0.514;3.0;1.0;0.01;3.0;2.0;0.019;23.0;20.0;0.19;13.0;10.0;0.095
311;1.0;1.0;0.006;119.0;110.0;0.647;48.0;40.0;0.235;1.0;0.0;0.0;4.0;2.0;0.012;9.0;7.0;0.041;1.0;0.0;0.0
889;1.0;1.0;0.019;10.0;8.0;0.154;17.0;17.0;0.327;7.0;6.0;0.115;3.0;2.0;0.038;13.0;10.0;0.192;6.0;5.0;0.096
126;1.0;1.0;0.016;9.0;7.0;0.115;30.0;30.0;0.492;1.0;0.0;0.0;3.0;2.0;0.033;18.0;16.0;0.262;3.0;2.0;0.033
296;1.0;0.0;0.0;140.0;132.0;0.698;50.0;44.0;0.233;3.0;2.0;0.011;1.0;0.0;0.0;3.0;2.0;0.011;1.0;0.0;0.0
